Datum;Uhrzeit;Bezeichnung;Intervall;T2_sZ;T2_sB;T2_bZ;T2_bB;T3_sZ;T3_sB;T3_bZ;T3_bB;TFWZ;TFWB
10.03.2024;13:02;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;13:01;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;13:00;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:59;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:58;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:57;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:56;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:55;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:54;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:53;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:52;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:51;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:50;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:49;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:48;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:47;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:46;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:45;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:44;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:43;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:42;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:41;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:40;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:39;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:38;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:37;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:36;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:35;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:34;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:33;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:32;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:31;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:30;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:29;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:28;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:27;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:26;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:25;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:24;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:23;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:22;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:21;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:20;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:19;A130;1;0;0;2;2;0;0;2;0;;
10.03.2024;12:18;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:17;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:16;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:15;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:14;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:13;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:12;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:11;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:10;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:09;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:08;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:07;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:06;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:05;A130;1;1;0;0;0;3;0;0;0;;
10.03.2024;12:04;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:03;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:02;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:01;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;12:00;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:59;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:58;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:57;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:56;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:55;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:54;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:53;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:52;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:51;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:50;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:49;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:48;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:47;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:46;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:45;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:44;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:43;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:42;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:41;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:40;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:39;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:38;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:37;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:36;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:35;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:34;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:33;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:32;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:31;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:30;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:29;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:28;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:27;A130;1;0;0;0;0;0;0;3;3;;
10.03.2024;11:26;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:25;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:24;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:23;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:22;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:21;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:20;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:19;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:18;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:17;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:16;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:15;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:14;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:13;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:12;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:11;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:10;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:09;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:08;A130;1;0;0;0;0;0;0;2;0;;
10.03.2024;11:07;A130;1;0;0;1;0;0;0;0;0;;
10.03.2024;11:06;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:05;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:04;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:03;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:02;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:01;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;11:00;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:59;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:58;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:57;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:56;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:55;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:54;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:53;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:52;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:51;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:50;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:49;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:48;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:47;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:46;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:45;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:44;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:43;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:42;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:41;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:40;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:39;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:38;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:37;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:36;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:35;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:34;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:33;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:32;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:31;A130;1;1;0;0;0;1;0;0;0;;
10.03.2024;10:30;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:29;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:28;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:27;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:26;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:25;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:24;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:23;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:22;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:21;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:20;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:19;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:18;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:17;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:16;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:15;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:14;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:13;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:12;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:11;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:10;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:09;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:08;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:07;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:06;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:05;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:04;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:03;A130;1;0;0;0;0;7;2;0;0;;
10.03.2024;10:02;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:01;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;10:00;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:59;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:58;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:57;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:56;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:55;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:54;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:53;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:52;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:51;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:50;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:49;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:48;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:47;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:46;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:45;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:44;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:43;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:42;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:41;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:40;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:39;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:38;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:37;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:36;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:35;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:34;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:33;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:32;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:31;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:30;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:29;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:28;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:27;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:26;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:25;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:24;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:23;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:22;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:21;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:20;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:19;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:18;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:17;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:16;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:15;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:14;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:13;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:12;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:11;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:10;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:09;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:08;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:07;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:06;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:05;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:04;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:03;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:02;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:01;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;09:00;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:59;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:58;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:57;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:56;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:55;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:54;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:53;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:52;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:51;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:50;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:49;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:48;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:47;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:46;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:45;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:44;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:43;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:42;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:41;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:40;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:39;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:38;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:37;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:36;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:35;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:34;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:33;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:32;A130;1;0;0;1;3;0;0;2;1;;
10.03.2024;08:31;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:30;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:29;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:28;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:27;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:26;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:25;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:24;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:23;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:22;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:21;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:20;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:19;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:18;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:17;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:16;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:15;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:14;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:13;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:12;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:11;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:10;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:09;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:08;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:07;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:06;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:05;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:04;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:03;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:02;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:01;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;08:00;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:59;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:58;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:57;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:56;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:55;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:54;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:53;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:52;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:51;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:50;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:49;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:48;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:47;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:46;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:45;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:44;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:43;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:42;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:41;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:40;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:39;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:38;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:37;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:36;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:35;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:34;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:33;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:32;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:31;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:30;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:29;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:28;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:27;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:26;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:25;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:24;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:23;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:22;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:21;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:20;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:19;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:18;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:17;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:16;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:15;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:14;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:13;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:12;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:11;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:10;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:09;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:08;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:07;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:06;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:05;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:04;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:03;A130;1;0;0;0;0;0;0;0;0;;
10.03.2024;07:02;A130;1;0;0;0;0;0;0;0;0;;
