Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V111Z;V111B;V351Z;V351B;TF35Z;TF35B;TF35aZ;TF35aB;TBS35Z;TBS35B;TBS35aZ;TBS35aB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB;MP_A81_MP3Z;MP_A81_MP3B;MP_A77_MP1Z;MP_A77_MP1B;MP_A51_MP4Z;MP_A51_MP4B;MP_A77_MP2Z;MP_A77_MP2B
01.07.2024;15:46;A 77;1;0;0;6;27;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:45;A 77;1;2;38;1;21;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:44;A 77;1;3;29;0;33;1;11;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:43;A 77;1;2;44;1;52;1;16;2;3;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:42;A 77;1;2;10;3;54;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:41;A 77;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:40;A 77;1;2;19;3;33;0;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:39;A 77;1;2;12;4;59;2;5;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
01.07.2024;15:38;A 77;1;7;36;0;55;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:37;A 77;1;4;20;2;26;2;29;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;15:36;A 77;1;2;14;3;54;0;0;1;1;2;3;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:35;A 77;1;2;8;1;64;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:34;A 77;1;3;18;2;46;1;16;1;1;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:33;A 77;1;1;3;4;70;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:32;A 77;1;3;7;1;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:31;A 77;1;4;18;2;17;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:30;A 77;1;2;26;1;57;1;11;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:29;A 77;1;3;26;0;59;0;0;1;1;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:28;A 77;1;2;13;2;74;1;14;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:27;A 77;1;2;15;5;86;1;2;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:26;A 77;1;1;7;2;27;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:25;A 77;1;3;12;4;42;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:24;A 77;1;1;5;2;41;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:23;A 77;1;5;27;2;57;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:22;A 77;1;2;6;4;43;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:21;A 77;1;4;11;6;60;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:20;A 77;1;2;47;4;61;0;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:19;A 77;1;6;26;6;46;2;20;1;1;0;0;3;5;1;1;;;;;;;;;;;;;;
01.07.2024;15:18;A 77;1;0;2;2;79;0;0;5;8;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:17;A 77;1;4;17;2;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:16;A 77;1;1;3;2;34;2;17;1;1;6;10;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:15;A 77;1;3;23;1;72;1;18;1;1;2;3;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:14;A 77;1;1;5;2;2;1;15;1;1;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:13;A 77;1;3;8;5;43;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:12;A 77;1;1;9;1;66;1;19;0;0;0;0;0;0;2;3;;;;;;;;;;;;;;
01.07.2024;15:11;A 77;1;2;50;2;87;0;0;5;8;7;11;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:10;A 77;1;3;9;1;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:09;A 77;1;3;15;4;25;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:08;A 77;1;4;6;2;39;1;11;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:07;A 77;1;4;12;5;63;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:06;A 77;1;2;20;10;53;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:05;A 77;1;4;13;2;11;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:04;A 77;1;2;10;5;25;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:03;A 77;1;1;5;4;67;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:02;A 77;1;2;17;1;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:01;A 77;1;3;26;6;39;0;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;15:00;A 77;1;3;16;7;36;1;10;0;0;0;0;1;1;27;45;;;;;;;;;;;;;;
01.07.2024;14:59;A 77;1;3;10;1;87;2;12;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:58;A 77;1;1;4;3;44;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:57;A 77;1;2;2;5;57;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:56;A 77;1;3;19;2;25;2;27;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:55;A 77;1;1;6;2;9;0;0;0;0;2;3;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:54;A 77;1;6;18;4;19;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:53;A 77;1;3;14;5;69;1;23;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:52;A 77;1;9;42;3;67;0;0;2;3;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:51;A 77;1;3;15;6;30;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:50;A 77;1;1;5;1;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:49;A 77;1;2;43;3;47;1;19;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:48;A 77;1;3;14;0;100;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;14:47;A 77;1;4;34;2;50;0;25;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;14:46;A 77;1;3;14;2;10;1;0;0;0;0;0;1;1;1;1;;;;;;;;;;;;;;
01.07.2024;14:45;A 77;1;2;19;2;37;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:44;A 77;1;1;6;1;67;0;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:43;A 77;1;6;26;3;65;2;3;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
01.07.2024;14:42;A 77;1;4;36;3;4;1;29;0;0;6;10;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:41;A 77;1;2;6;2;76;0;0;1;1;14;23;0;0;9;15;;;;;;;;;;;;;;
01.07.2024;14:40;A 77;1;1;8;3;76;1;16;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:39;A 77;1;0;0;0;66;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;14:38;A 77;1;3;19;2;11;1;11;0;0;0;0;1;1;1;1;;;;;;;;;;;;;;
01.07.2024;14:37;A 77;1;2;4;2;26;1;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:36;A 77;1;3;25;4;51;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;14:35;A 77;1;5;24;1;23;0;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:34;A 77;1;2;4;2;17;2;10;0;0;0;0;0;0;5;8;;;;;;;;;;;;;;
01.07.2024;14:33;A 77;1;2;7;3;39;1;11;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
01.07.2024;14:32;A 77;1;3;9;2;43;1;17;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;14:31;A 77;1;3;21;3;15;1;2;1;1;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:30;A 77;1;0;0;5;26;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:29;A 77;1;2;16;6;24;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:28;A 77;1;1;15;2;48;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:27;A 77;1;2;13;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:26;A 77;1;0;1;1;25;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:25;A 77;1;3;20;3;53;1;11;2;3;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:24;A 77;1;2;10;6;36;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:23;A 77;1;6;23;3;57;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:22;A 77;1;6;28;1;41;1;13;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;14:21;A 77;1;2;14;1;30;2;17;0;0;0;0;1;1;2;3;;;;;;;;;;;;;;
01.07.2024;14:20;A 77;1;1;7;3;21;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:19;A 77;1;3;19;3;22;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:18;A 77;1;3;18;3;39;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:17;A 77;1;1;8;4;27;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:16;A 77;1;3;16;5;27;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:15;A 77;1;1;4;3;18;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:14;A 77;1;2;16;2;16;2;20;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:13;A 77;1;3;7;2;43;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:12;A 77;1;2;17;2;60;1;14;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:11;A 77;1;1;8;3;21;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:10;A 77;1;5;24;3;47;0;0;2;3;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:09;A 77;1;1;4;2;42;2;20;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
01.07.2024;14:08;A 77;1;5;38;4;30;1;10;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;14:07;A 77;1;1;5;8;37;1;12;2;3;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:06;A 77;1;4;19;3;65;2;20;0;0;0;0;1;1;1;1;;;;;;;;;;;;;;
01.07.2024;14:05;A 77;1;1;6;2;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:04;A 77;1;3;15;6;25;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:03;A 77;1;3;14;7;37;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:02;A 77;1;3;12;2;51;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;14:01;A 77;1;1;13;5;23;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;14:00;A 77;1;8;28;3;28;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:59;A 77;1;2;29;3;20;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:58;A 77;1;2;27;1;79;0;4;0;0;0;0;1;1;1;1;;;;;;;;;;;;;;
01.07.2024;13:57;A 77;1;3;34;1;13;1;2;2;3;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:56;A 77;1;4;52;3;31;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:55;A 77;1;6;22;6;38;2;18;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:54;A 77;1;3;16;1;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:53;A 77;1;1;4;3;73;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:52;A 77;1;5;17;5;33;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:51;A 77;1;2;15;4;29;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:50;A 77;1;2;8;2;40;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:49;A 77;1;1;8;4;44;2;24;3;5;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:48;A 77;1;2;7;3;27;0;5;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:47;A 77;1;4;26;3;29;1;7;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
01.07.2024;13:46;A 77;1;4;17;2;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:45;A 77;1;4;26;5;35;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:44;A 77;1;1;2;4;33;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:43;A 77;1;1;5;4;21;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:42;A 77;1;2;10;2;6;1;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:41;A 77;1;2;10;4;40;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;13:40;A 77;1;8;42;7;44;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:39;A 77;1;1;3;0;66;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:38;A 77;1;0;0;3;45;1;11;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:37;A 77;1;1;6;2;10;1;29;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:36;A 77;1;5;39;5;66;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:35;A 77;1;3;32;2;42;1;15;0;0;0;0;1;1;2;3;;;;;;;;;;;;;;
01.07.2024;13:34;A 77;1;3;17;1;60;1;11;0;0;0;0;1;1;3;5;;;;;;;;;;;;;;
01.07.2024;13:33;A 77;1;2;13;1;26;1;8;1;1;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:32;A 77;1;3;12;3;15;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:31;A 77;1;1;4;3;59;1;12;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
01.07.2024;13:30;A 77;1;3;23;1;2;1;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:29;A 77;1;3;21;4;26;0;0;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
01.07.2024;13:28;A 77;1;1;5;4;36;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:27;A 77;1;3;21;4;34;2;17;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:26;A 77;1;0;0;6;26;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:25;A 77;1;3;22;1;20;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:24;A 77;1;1;9;1;13;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:23;A 77;1;4;23;3;26;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:22;A 77;1;4;20;0;0;1;23;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:21;A 77;1;2;49;5;40;0;1;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;13:20;A 77;1;3;26;2;32;2;10;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;13:19;A 77;1;1;5;0;64;0;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:18;A 77;1;0;26;1;37;1;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:17;A 77;1;2;20;2;38;3;34;2;3;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:16;A 77;1;2;8;2;11;0;0;1;1;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:15;A 77;1;0;0;1;25;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:14;A 77;1;4;14;3;30;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:13;A 77;1;1;12;2;21;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:12;A 77;1;7;34;4;17;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:11;A 77;1;2;31;0;61;2;25;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;13:10;A 77;1;2;22;2;54;0;13;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:09;A 77;1;4;34;2;26;1;5;3;5;2;3;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:08;A 77;1;1;4;4;71;2;16;2;3;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:07;A 77;1;2;7;2;14;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:06;A 77;1;3;20;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:05;A 77;1;0;1;4;20;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:04;A 77;1;1;2;3;31;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:03;A 77;1;2;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:02;A 77;1;2;15;3;13;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:01;A 77;1;3;11;4;26;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;13:00;A 77;1;5;34;2;16;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:59;A 77;1;1;26;1;42;1;10;0;0;0;0;1;1;1;1;;;;;;;;;;;;;;
01.07.2024;12:58;A 77;1;3;16;1;15;1;12;1;1;2;3;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:57;A 77;1;2;10;4;33;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:56;A 77;1;1;9;5;33;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:55;A 77;1;2;32;0;70;1;17;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:54;A 77;1;1;4;2;1;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;12:53;A 77;1;1;4;3;15;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:52;A 77;1;3;17;1;16;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:51;A 77;1;1;43;0;66;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:50;A 77;1;7;48;2;17;2;15;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:49;A 77;1;0;0;3;65;1;12;1;1;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:48;A 77;1;3;11;3;28;0;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:47;A 77;1;2;12;3;55;1;10;0;0;2;3;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:46;A 77;1;2;30;1;42;2;26;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;12:45;A 77;1;6;41;2;38;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:44;A 77;1;2;3;4;41;0;0;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
01.07.2024;12:43;A 77;1;1;4;1;13;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:42;A 77;1;1;5;1;39;2;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:41;A 77;1;2;8;4;72;1;10;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
01.07.2024;12:40;A 77;1;1;30;3;51;0;11;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:39;A 77;1;3;38;3;11;1;19;1;1;2;3;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:38;A 77;1;5;16;1;49;1;15;0;0;0;0;0;0;5;9;;;;;;;;;;;;;;
01.07.2024;12:37;A 77;1;1;11;4;44;1;13;1;1;0;0;0;0;2;2;;;;;;;;;;;;;;
01.07.2024;12:36;A 77;1;1;11;0;66;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:35;A 77;1;2;10;4;50;1;11;0;0;0;0;1;1;1;1;;;;;;;;;;;;;;
01.07.2024;12:34;A 77;1;3;13;1;62;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:33;A 77;1;0;0;1;20;2;22;2;3;4;6;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:32;A 77;1;2;18;3;40;3;17;0;0;0;0;1;1;0;0;;;;;;;;;;;;;;
01.07.2024;12:31;A 77;1;3;23;4;33;1;15;0;0;0;0;2;3;0;0;;;;;;;;;;;;;;
01.07.2024;12:30;A 77;1;1;7;4;63;1;22;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:29;A 77;1;0;0;1;0;1;17;0;0;0;0;2;3;2;3;;;;;;;;;;;;;;
01.07.2024;12:28;A 77;1;3;21;5;53;1;14;0;0;0;0;1;1;1;1;;;;;;;;;;;;;;
01.07.2024;12:27;A 77;1;1;15;3;35;1;13;0;0;0;0;1;1;1;1;;;;;;;;;;;;;;
01.07.2024;12:26;A 77;1;0;0;0;0;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:25;A 77;1;0;0;3;21;1;16;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
01.07.2024;12:24;A 77;1;4;50;4;25;1;4;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
01.07.2024;12:23;A 77;1;2;31;0;62;1;10;0;0;0;0;0;0;1;1;;;;;;;;;;;;;;
