Datum;Uhrzeit;Bezeichnung;Intervall;D111Z;D111B;V112_AnfZ;V112_AnfB;D21Z;D21B;D22Z;D22B;V23_AnfZ;V23_AnfB;V24_AnfZ;V24_AnfB;D51Z;D51B;V52_AnfZ;V52_AnfB;V53_AnfZ;V53_AnfB;D81Z;D81B;D82Z;D82B;V83_AnfZ;V83_AnfB;V84_AnfZ;V84_AnfB;D85Z;D85B;TF32_AnfZ;TF32_AnfB;TBS32_AnfZ;TBS32_AnfB;TF35_AnfZ;TF35_AnfB;TBS35_AnfZ;TBS35_AnfB;TF38_AnfZ;TF38_AnfB;TF41_AnfZ;TF41_AnfB;TF32a_AnfZ;TF32a_AnfB;TBS32a_AnfZ;TBS32a_AnfB;TF35a_AnfZ;TF35a_AnfB;TBS35a_AnfZ;TBS35a_AnfB;TF38a_AnfZ;TF38a_AnfB;TF41a_AnfZ;TF41a_AnfB
19.08.2024;07:59;A126;1;4;36;1;46;0;100;0;0;4;46;0;0;0;11;0;0;1;2;1;27;2;28;2;31;2;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
19.08.2024;07:58;A126;1;2;64;3;44;0;100;0;0;1;66;0;0;2;32;2;30;1;4;3;8;1;1;1;16;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:57;A126;1;3;44;4;16;0;100;1;2;4;48;1;6;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:56;A126;1;5;51;5;46;0;100;1;7;1;32;2;7;1;52;0;52;1;3;3;57;2;19;3;14;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:55;A126;1;3;5;3;12;0;100;1;8;3;57;1;8;1;4;1;9;0;0;1;1;1;49;1;5;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:54;A126;1;1;39;1;5;0;100;3;48;1;11;1;27;1;33;3;39;2;8;4;12;2;16;2;22;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
19.08.2024;07:53;A126;1;4;32;1;16;0;100;1;37;2;31;2;38;4;16;2;20;4;19;1;10;1;44;1;16;2;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:52;A126;1;3;66;1;71;0;100;3;47;1;50;2;49;1;42;2;10;2;2;6;50;1;4;0;61;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:51;A126;1;1;22;2;20;0;100;0;0;3;52;0;0;3;4;2;31;3;4;3;9;2;5;4;19;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:50;A126;1;0;0;0;0;0;100;0;0;3;9;0;0;0;0;0;0;0;0;1;1;3;3;1;4;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:49;A126;1;2;13;0;14;0;100;3;10;4;26;4;9;1;1;1;3;1;1;2;48;11;80;2;42;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
19.08.2024;07:48;A126;1;7;62;3;78;0;100;0;0;1;4;0;0;3;2;1;6;2;3;0;0;1;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:47;A126;1;0;0;0;0;0;100;2;26;1;5;0;22;3;51;1;59;3;6;1;1;2;2;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:46;A126;1;1;63;1;4;0;100;4;52;3;12;4;67;2;2;0;0;1;0;8;41;3;4;2;52;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:45;A126;1;2;22;2;13;0;100;1;8;0;18;1;9;1;1;0;0;0;0;2;6;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:44;A126;1;3;31;2;12;0;100;2;58;1;44;2;42;2;2;2;8;2;2;1;1;2;1;1;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:43;A126;1;6;63;4;63;0;100;2;7;1;18;3;16;1;0;1;2;1;0;1;0;2;4;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:42;A126;1;1;10;1;16;0;100;4;3;1;17;0;0;2;6;2;6;2;3;3;7;2;3;1;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:41;A126;1;2;3;1;3;0;100;1;0;4;16;0;0;3;4;0;8;5;3;7;43;2;13;7;38;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:40;A126;1;1;21;2;17;0;100;2;1;5;19;1;3;1;1;2;7;1;1;1;35;4;5;2;17;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:39;A126;1;1;1;0;0;0;100;4;2;6;29;2;6;2;33;2;28;1;1;2;18;4;6;2;10;1;4;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
19.08.2024;07:38;A126;1;2;1;2;5;0;100;4;0;5;65;0;0;0;26;0;0;1;2;2;34;2;35;1;38;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:37;A126;1;3;44;3;12;0;100;4;10;0;20;1;17;4;69;1;68;3;7;0;10;1;43;0;0;1;50;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:36;A126;1;2;1;2;5;0;100;0;37;1;33;1;0;1;1;2;9;1;1;1;27;1;32;2;6;1;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:35;A126;1;2;17;2;15;0;100;2;47;1;49;1;10;1;29;1;6;1;15;3;22;3;26;4;20;2;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:34;A126;1;3;30;4;24;0;100;2;52;2;52;3;35;7;38;2;52;7;17;3;48;2;6;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:33;A126;1;2;30;2;10;0;100;1;1;3;26;1;4;2;0;1;0;0;0;1;35;3;27;1;5;2;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:32;A126;1;1;1;1;3;0;100;4;21;4;47;4;24;3;31;2;26;2;3;0;0;2;4;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:31;A126;1;2;41;4;10;0;100;1;1;1;2;1;3;1;19;1;23;1;4;1;0;3;17;0;0;1;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:30;A126;1;3;45;4;18;0;100;0;0;0;0;0;0;1;1;1;3;1;1;3;31;0;0;2;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:29;A126;1;2;10;1;5;0;100;1;1;1;1;1;3;2;8;0;10;4;10;3;35;2;1;1;29;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:28;A126;1;2;23;1;28;0;100;2;60;0;6;1;51;1;17;2;24;0;0;5;11;4;49;2;50;1;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:27;A126;1;3;42;3;56;0;100;0;0;4;6;0;0;2;18;1;9;2;2;2;2;2;1;2;6;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:26;A126;1;2;20;2;22;0;100;2;3;3;14;1;6;0;0;0;0;0;0;1;54;30;54;1;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:25;A126;1;2;16;1;11;0;100;2;26;0;0;2;10;2;24;2;10;2;3;1;7;0;0;1;12;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:24;A126;1;3;39;3;31;0;100;0;0;0;0;0;0;4;4;3;15;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:23;A126;1;1;0;1;2;0;100;1;0;1;4;1;2;3;20;2;19;2;4;3;34;2;25;2;42;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:22;A126;1;0;0;1;2;0;100;0;0;2;30;0;0;0;31;0;30;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:21;A126;1;1;1;1;4;0;100;2;3;3;53;2;12;4;54;3;56;4;8;2;15;1;1;2;12;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:20;A126;1;0;0;0;0;0;100;3;3;2;5;2;10;1;25;1;5;1;2;1;1;1;1;1;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:19;A126;1;2;5;2;13;0;100;0;0;2;9;0;0;0;0;0;0;0;0;3;28;1;1;1;39;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:18;A126;1;0;0;1;1;0;100;1;1;3;7;1;4;2;18;2;8;2;3;2;9;2;2;1;17;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:17;A126;1;0;0;0;0;0;100;0;0;3;15;0;0;1;19;1;6;1;3;3;4;2;3;3;11;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:16;A126;1;2;8;1;5;0;100;1;1;1;49;1;4;0;0;0;0;0;0;6;9;3;41;3;22;1;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:15;A126;1;3;23;0;31;0;100;1;21;3;33;3;9;3;31;3;17;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:14;A126;1;1;39;3;47;0;100;1;1;3;9;1;4;1;23;1;8;3;8;1;11;3;35;2;24;2;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
19.08.2024;07:13;A126;1;0;0;0;0;0;100;1;13;3;8;1;3;3;21;3;33;2;14;0;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:12;A126;1;1;11;1;4;0;100;2;71;0;0;1;6;2;45;1;53;3;7;1;9;1;37;1;6;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:11;A126;1;2;27;1;26;0;100;8;8;1;10;2;18;1;0;0;0;0;0;1;35;2;35;1;5;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:10;A126;1;3;52;5;40;0;100;2;2;1;53;1;5;2;29;1;33;2;3;4;21;2;17;2;13;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:09;A126;1;1;1;1;4;0;100;0;0;2;36;0;0;0;0;1;3;0;0;4;4;0;0;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:08;A126;1;3;51;2;30;0;100;1;0;1;9;0;0;2;54;2;10;2;4;2;4;5;28;3;10;1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:07;A126;1;0;0;1;9;0;100;1;1;3;8;1;3;0;0;0;0;0;0;2;22;2;23;0;25;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:06;A126;1;3;78;5;32;0;100;1;23;2;36;1;18;2;66;1;68;5;8;4;53;5;78;6;41;4;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:05;A126;1;1;44;1;4;0;100;1;20;3;13;1;6;4;16;0;20;3;17;4;33;3;62;2;43;3;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:04;A126;1;3;11;3;14;0;100;1;1;1;68;1;3;2;24;3;35;2;7;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:03;A126;1;0;0;0;0;0;100;0;0;1;19;0;0;1;22;1;5;1;3;0;0;2;38;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:02;A126;1;1;0;1;2;0;100;2;33;1;63;1;44;1;19;1;7;1;2;0;0;1;17;0;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:01;A126;1;1;1;1;2;0;100;36;26;2;11;1;36;1;13;1;5;1;2;1;26;1;52;0;25;1;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0
19.08.2024;07:00;A126;1;3;47;2;30;0;100;0;0;0;0;1;4;2;2;2;12;2;2;3;27;4;13;4;34;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:59;A126;1;2;48;3;9;0;100;2;10;1;4;2;10;2;19;1;4;1;3;4;39;1;43;1;48;1;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:58;A126;1;1;40;1;19;0;100;1;1;0;0;1;3;3;15;3;15;3;5;3;13;3;5;0;19;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:57;A126;1;1;14;1;5;0;100;4;45;2;25;3;20;3;33;0;40;4;7;2;3;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:56;A126;1;1;5;3;8;0;100;1;13;1;29;1;20;1;5;4;12;1;0;3;7;1;50;2;15;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:55;A126;1;1;15;2;18;0;100;1;54;2;14;1;26;2;31;2;9;3;7;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:54;A126;1;2;25;4;21;0;100;4;4;2;14;1;5;3;25;2;10;1;0;1;1;1;22;1;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:53;A126;1;2;15;3;14;0;100;0;0;3;31;0;0;2;25;1;26;4;6;4;21;3;35;3;28;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:52;A126;1;0;0;0;0;0;100;1;1;1;18;1;3;3;25;2;33;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
19.08.2024;06:51;A126;1;0;0;0;0;0;100;0;0;2;29;0;0;1;17;1;7;1;4;0;0;1;20;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:50;A126;1;0;0;0;0;0;100;0;0;1;5;0;0;0;0;0;0;0;0;2;2;1;1;1;7;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:49;A126;1;3;54;0;58;0;100;3;28;1;47;3;35;1;2;1;6;1;1;4;9;1;1;1;18;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:48;A126;1;1;3;1;9;0;100;0;0;3;32;0;0;2;9;1;25;3;5;2;45;1;57;5;40;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:47;A126;1;2;1;1;4;0;100;0;0;0;0;0;0;2;20;2;9;3;21;5;24;3;4;3;34;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:46;A126;1;2;67;4;14;0;100;1;4;0;0;1;8;3;71;2;35;3;7;6;45;1;17;2;56;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:45;A126;1;1;48;3;21;0;100;1;0;2;8;0;0;4;51;4;39;4;9;1;3;3;2;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
19.08.2024;06:44;A126;1;3;10;3;23;0;100;5;28;1;55;3;32;0;0;0;0;0;0;1;1;4;3;1;3;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:43;A126;1;2;1;2;6;0;100;0;0;1;5;0;0;3;8;2;12;2;3;1;13;4;25;1;10;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:42;A126;1;0;0;0;0;0;100;0;36;1;3;0;0;1;21;1;5;1;2;1;28;1;23;1;3;1;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:41;A126;1;0;28;1;0;0;100;1;14;1;2;1;4;2;28;2;11;2;17;1;40;1;46;1;6;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:40;A126;1;2;4;3;7;0;100;1;30;1;6;1;6;2;1;1;5;1;1;9;20;2;12;0;37;0;9;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:39;A126;1;2;24;2;8;0;100;1;17;0;0;1;6;0;0;0;0;0;0;1;46;1;21;1;51;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:38;A126;1;1;16;1;5;0;100;1;1;0;27;2;13;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:37;A126;1;3;51;4;45;0;100;0;0;4;54;0;0;2;13;2;7;3;5;2;52;6;23;0;56;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:36;A126;1;0;0;1;1;0;100;4;0;2;8;0;0;4;11;2;19;2;2;1;54;0;0;3;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:35;A126;1;2;5;1;14;0;100;3;24;2;9;2;9;1;1;1;3;2;1;5;6;2;2;4;15;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:34;A126;1;2;18;2;7;0;100;2;17;0;0;0;19;1;1;1;4;0;0;2;6;2;10;1;10;1;25;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:33;A126;1;1;30;2;25;0;100;1;21;1;2;2;18;0;5;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
